Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-02-16;154,4385;;m³/s;1;1;41340000;ANA
2022-02-17;227,4368;;m³/s;1;1;41340000;ANA
2022-02-18;224,3835;;m³/s;1;1;41340000;ANA
2022-02-19;219,3248;;m³/s;1;1;41340000;ANA
2022-02-20;251,2906;;m³/s;1;1;41340000;ANA
2022-02-21;244,9928;;m³/s;1;1;41340000;ANA
2022-02-22;222,8619;;m³/s;1;1;41340000;ANA
2022-02-23;255,5182;;m³/s;1;1;41340000;ANA
2022-02-24;183,5684;;m³/s;1;1;41340000;ANA
2022-02-25;143,7837;;m³/s;1;1;41340000;ANA
2022-02-26;129,5482;;m³/s;1;1;41340000;ANA
2022-02-27;128,2784;;m³/s;1;1;41340000;ANA
2022-02-28;117,4474;;m³/s;1;1;41340000;ANA
2022-01-01;0.0;96,7516;m³/s;1;1;41340000;ANA
2022-01-02;129,1245;1.0;m³/s;1;1;41340000;ANA
2022-01-03;192,6729;1.0;m³/s;1;1;41340000;ANA
2022-01-04;157,141;1.0;m³/s;1;1;41340000;ANA
2022-01-05;181,1967;1.0;m³/s;1;1;41340000;ANA
2022-01-06;132,527;1.0;m³/s;1;1;41340000;ANA
2022-01-07;156,6895;1.0;m³/s;1;1;41340000;ANA
2022-01-08;246,0388;1.0;m³/s;1;1;41340000;ANA
2022-01-09;471,8578;1.0;m³/s;1;1;41340000;ANA
2022-01-10;966,0789;1.0;m³/s;1;1;41340000;ANA
2022-01-11;1542,8573;1.0;m³/s;1;1;41340000;ANA
2022-01-12;1257,7283;1.0;m³/s;1;1;41340000;ANA
2022-01-13;797,4623;1.0;m³/s;1;1;41340000;ANA
2022-01-14;389,5129;1.0;m³/s;1;1;41340000;ANA
2022-01-15;269,9562;1.0;m³/s;1;1;41340000;ANA
2022-01-16;214,3041;1.0;m³/s;1;1;41340000;ANA
2022-01-17;183,5684;1.0;m³/s;1;1;41340000;ANA
2022-01-18;151,305;1.0;m³/s;1;1;41340000;ANA
2022-01-19;142,9072;1.0;m³/s;1;1;41340000;ANA
2022-01-20;131,2477;1.0;m³/s;1;1;41340000;ANA
2022-01-21;118,6811;1.0;m³/s;1;1;41340000;ANA
2022-01-22;121,576;1.0;m³/s;1;1;41340000;ANA
2022-01-23;119,5059;1.0;m³/s;1;1;41340000;ANA
2022-01-24;100,6287;1.0;m³/s;1;1;41340000;ANA
2022-01-25;89,9004;1.0;m³/s;1;1;41340000;ANA
2022-01-26;81,0265;1.0;m³/s;1;1;41340000;ANA
2022-01-27;81,0265;1.0;m³/s;1;1;41340000;ANA
2022-01-28;79,5772;1.0;m³/s;1;1;41340000;ANA
2022-01-29;75,9918;1.0;m³/s;1;1;41340000;ANA
2022-01-30;94,832;1.0;m³/s;1;1;41340000;ANA
2022-01-31;120,3325;1.0;m³/s;1;1;41340000;ANA
2021-12-01;;163,1632;m³/s;1;2;41340000;ANA
2021-12-02;84,5499;1.0;m³/s;1;2;41340000;ANA
2021-12-03;87,456;1.0;m³/s;1;2;41340000;ANA
2021-12-04;70,5012;1.0;m³/s;1;2;41340000;ANA
